country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,20800,2790,4580,210000,0,0,3250,0,0,1120
Albania,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,226,0,0,0,0,0,0
Algeria,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,16300,0,0,0,0,0,1010,0,0,1230,1060,135,459,0,0,374,0,60000,18900,10200
Argentina,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Bahrain,0,0,0,,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,,0,0,0,10700,129,0,0,0,176000,500,950,900,52200,602000,0,20,0,1610000,200,5700,0,21600,10000,14400,185000,0,26200,0,50000,0,86,0,0,285000,0
Belarus,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,605,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,,0,0,8,0,0,0,0,0,0,0,0,0,0,468,0,2640,0,0,0,0,0,0,86,273,605,250,8110,10100,502,268,0,210,0,0,1020
Bhutan,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,18000,0,0,0,0,0,752,170,101,0,0,0,0,0,0,0,229,204
Bosnia and Herzegovina,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0
Botswana,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22700,0,0
Brazil,0,0,0,,31500,107,0,0,0,0,0,0,0,0,300,0,34700,0,170,0,0,15400,0,0,0,113000,0,25900,214000,238,0,0,318000,0,0,0,0,0,163000
Burkina Faso,0,0,0,,0,0,0,0,0,1850,0,11100,0,0,1000,0,0,0,0,0,0,37,0,0,0,0,45100,20300,467,0,0,23800,0,8200,3310,615,8190,22300,2250
Burundi,0,0,0,,0,0,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,2290,0,0,0,0,24400,0,617000,731000,0,2250,236,0,0,0,0,0
Cambodia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,230,15600,930,0,0,0,0,7,0,4370,17200,0
Cameroon,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,650,290,1650,8600,4580,0,0,3200,588,2330,119,87,573,0,0,2970,1440,79,0,0
Canada,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,17,0,0,0,0,0,0,0,0,400,392,0,0,0,0,0,0
Cape Verde,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,100,3020,1820,733,402,0,0,0,0,0
Chad,0,9790,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7230,0,0,13500,0,0,0,0,1410,3070,0,0,10900,3560,0,142,3710,6120,236,0,1780
Chile,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2000,0,0,1080,0,0,0,0,0,0,0,0,0,0,7020,0,25,206,0,0,0
Colombia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,3240,154,0,0,0,0,0,2280,0,1520,0
"Congo, Dem. Rep.",0,0,0,,0,0,507,0,0,0,0,0,0,0,0,0,0,498,0,0,0,500,0,0,0,233,2160,1470,14900,75,89,11900,542000,21200,46900,4970,3140,591,0
"Congo, Rep.",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,114,24,32,143,31,0,12,3080,0,656
Costa Rica,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,0,0
