country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22900,71,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000,0,0,400000,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10100,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,15,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8030,0,0,0,0,0,68700,0,0,2030,5960,0,0,0,0,0,0,0,0,25800
Argentina,0,0,0,360,100000,20,0,0,105,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,8020,0,6010,0,0,4000,0,431,2670,5000,912,0,263,0,0,0
Australia,13,3,0,0,45700,0,0,0,105,15,0,0,1,0,0,27,1020,0,1,4,0,408,122,12100,2860000,432000,623000,0,0,10700,1350,209,129,2070,648,1200,9030,822,12000
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,4
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,1,0,0,0,0,9010,1500,0,7000,3000
Bangladesh,3950000,163,25200,51900,2800,0,247,11200,1130,203,1060,2040000,0,6040,0,1850000,2720000,12,10600000,105000,59300,15600000,10300,869000,659000,2370000,119000,3800000,231000,102000,147000,29000,102000,480,18400,35800,18300,8980000,0
Barbados,0,0,0,0,0,0,0,0,0,0,5010,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,881,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21400,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,806,0,0,0,907,0,0,5,0,0,0,0,4,0
Belize,0,0,0,0,70000,0,0,0,6010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,62600,20000,0,0,0,3,0,20000,10000
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100,0,0,0,0,0,6660
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,4,0,0,0
Brazil,0,0,0,0,0,0,0,110,0,0,63,0,4330,0,210,3020,0,0,0,45000,0,0,0,0,2000,0,0,679,0,0,0,3410,0,0,150000,346,0,0,1600
