country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
France,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,16400,,,
Indonesia,539,0,,,,,,,,,,,,,,,,,,,,,,,0,166000,0,802,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,2180,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,35400,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,8350,,,
Vanuatu,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
